Data;Casos_Confirmados;Casos_em_Monitoramento_Domiciliar;Casos_Suspeitos;Casos_Descartados;Curados;Obitos;Pessoas_em_Recuperacao;Incio_da_Acao;Dia_da_Semana
31/mar/2020;0;47;0;0;0;0;0;0;QUI
01/abr/2020;0;47;0;0;0;0;0;0;SEX
02/abr/2020;0;47;0;0;0;0;0;1;SAB
03/abr/2020;0;47;0;0;0;0;0;0;DOM
04/abr/2020;0;47;0;0;0;0;0;1;SEG
06/abr/2020;0;47;1;0;0;0;0;0;TER
07/abr/2020;0;47;0;1;0;0;0;1;QUA
08/abr/2020;0;47;0;1;0;0;0;0;QUI
09/abr/2020;0;47;0;1;0;0;0;0;SEX
10/abr/2020;0;47;0;1;0;0;0;1;SAB
11/abr/2020;0;47;0;1;0;0;0;0;DOM
13/abr/2020;0;47;0;1;0;0;0;1;SEG
14/abr/2020;0;47;0;1;0;0;0;0;TER
15/abr/2020;0;47;0;1;0;0;0;1;QUA
16/abr/2020;0;46;0;2;0;0;0;0;QUI
17/abr/2020;0;46;0;2;0;0;0;0;SEX
18/abr/2020;0;46;0;2;0;0;0;1;SAB
19/abr/2020;0;46;0;2;0;0;0;0;DOM
20/abr/2020;0;45;0;3;0;0;0;1;SEG
21/abr/2020;0;45;0;3;0;0;0;0;TER
22/abr/2020;0;45;3;3;0;0;0;1;QUA
23/abr/2020;0;45;1;6;0;0;0;0;QUI
24/abr/2020;0;45;2;7;0;0;0;0;SEX
25/abr/2020;0;45;2;7;0;0;0;1;SAB
26/abr/2020;0;45;2;7;0;0;0;0;DOM
27/abr/2020;0;45;1;9;0;0;0;1;SEG
28/abr/2020;1;45;1;9;0;0;0;0;TER
29/abr/2020;1;45;1;10;0;0;0;1;QUA
30/abr/2020;1;45;2;11;0;0;0;0;QUI
01/mai/2020;1;45;3;12;0;0;0;0;SEX
02/mai/2020;1;45;3;12;0;0;0;1;SAB
03/mai/2020;1;45;3;12;0;0;0;0;DOM
04/mai/2020;1;45;5;15;0;0;0;1;SEG
05/mai/2020;2;45;3;20;0;0;0;0;TER
06/mai/2020;2;45;3;22;0;0;0;1;QUA
07/mai/2020;2;45;4;23;0;0;0;0;QUI
08/mai/2020;2;69;7;25;1;0;0;0;SEX
09/mai/2020;2;69;7;27;1;0;0;1;SAB
10/mai/2020;2;68;6;28;1;0;0;0;DOM
12/mai/2020;2;54;12;33;1;0;0;1;SEG
11/mai/2020;2;59;8;33;1;1;0;0;TER
13/mai/2020;2;53;12;34;1;1;0;1;QUA
14/mai/2020;4;53;11;48;1;1;0;0;QUI
15/mai/2020;6;87;13;56;1;1;0;0;SEX
16/mai/2020;6;154;13;57;1;1;0;1;SAB
17/mai/2020;6;178;13;57;1;1;0;0;DOM
18/mai/2020;8;147;18;57;1;1;0;1;SEG
19/mai/2020;9;144;27;64;2;1;0;0;TER
20/mai/2020;11;146;27;64;2;1;0;1;QUA
21/mai/2020;14;166;25;74;5;1;0;0;QUI
22/mai/2020;20;165;13;86;5;1;0;0;SEX
23/mai/2020;22;135;23;86;6;1;0;1;SAB
24/mai/2020;22;152;23;86;9;1;0;0;DOM
25/mai/2020;23;138;20;91;11;2;0;1;SEG
26/mai/2020;28;130;20;97;15;2;0;0;TER
27/mai/2020;30;130;15;100;17;2;0;1;QUA
28/mai/2020;30;117;17;105;18;2;10;0;QUI
29/mai/2020;37;121;17;106;19;2;16;0;SEX
30/mai/2020;38;133;17;110;20;2;16;1;SAB
31/mai/2020;38;120;17;110;20;2;16;0;DOM
01/jun/2020;39;98;12;117;25;2;12;1;SEG
02/jun/2020;41;103;16;117;28;2;11;0;TER
03/jun/2020;42;104;13;123;31;2;9;1;QUA
04/jun/2020;42;100;11;125;32;2;8;0;QUI
05/jun/2020;43;87;8;130;33;2;8;0;SEX
06/jun/2020;43;86;8;131;34;2;7;1;SAB
07/jun/2020;43;86;8;131;34;2;7;0;DOM
08/jun/2020;44;88;4;140;35;2;7;1;SEG
09/jun/2020;46;78;5;140;38;2;6;0;TER
10/jun/2020;47;76;7;141;39;2;6;1;QUA
11/jun/2020;47;79;6;142;41;2;4;0;QUI
12/jun/2020;48;77;6;142;41;2;5;0;SEX
13/jun/2020;50;60;8;142;42;2;6;1;SAB
14/jun/2020;51;61;8;142;42;2;7;0;DOM
15/jun/2020;52;59;11;144;42;2;8;1;SEG
16/jun/2020;55;65;11;146;43;2;10;0;TER
17/jun/2020;55;66;11;148;45;2;8;1;QUA
18/jun/2020;55;67;11;150;46;2;7;0;QUI
19/jun/2020;56;65;10;152;46;2;8;0;SEX
20/jun/2020;57;66;10;152;47;2;8;1;SAB
21/jun/2020;57;66;10;152;47;2;8;0;DOM
22/jun/2020;59;55;11;154;52;2;5;1;SEG
23/jun/2020;59;60;11;156;52;2;5;0;TER
/2020;;;;;;;;0;
/2020;;;;;;;;0;
/2020;;;;;;;;0;
/2020;;;;;;;;0;
/2020;;;;;;;;0;
/2020;;;;;;;;0;
/2020;;;;;;;;0;
